Species,Date Collected,Plot,Sex,Weight_g,Notes,Month,Day,Year
NA,03.11.2015,3,M,232,none,3,11,2015
NA,07.08.2015,3,M,190,none,7,8,2015
NA,5/18/15,3,F,182,none,5,18,2015
Maus,3/13/14,1,F,146,none,3,13,2014
Maus,1/20/14,1,F,144,none,1,20,2014
Maus,01.09.2014,1,F,135,none,1,9,2014
Maus,11/13/13,11,F,126,none,11,13,2013
Maus,11/13/13,11,F,122,none,11,13,2013
Maus,11.12.2013,1,F,121,none,11,12,2013
Maus,11.12.2013,9,F,120,none,11,12,2013
Maus,11/13/13,17,F,118,none,11,13,2013
Maus,11.12.2013,9,F,117,none,11,12,2013
Maus,11.12.2013,20,M,115,none,11,12,2013
Maus,11/13/13,4,F,115,none,11,13,2013
NA,07.08.2015,3,F,115,none,7,8,2015
Maus,11/13/13,4,F,107,none,11,13,2013
DO,8/19/13,8,F,52,none,8,19,2013
DM,2/18/14,2,M,52,none,2,18,2014
DM,3/13/14,1,F,51,none,3,13,2014
DO,10/17/13,3,F,50,none,10,17,2013
DM,7/18/13,7,M,48,none,7,18,2013
DO,10/17/13,17,F,48,none,10,17,2013
DO,11.12.2013,1,M,48,none,11,12,2013
DM,01.08.2014,2,M,48,none,1,8,2014
DM,7/18/13,4,F,46,none,7,18,2013
DO,12.10.2013,1,M,45,none,12,10,2013
DM,01.08.2014,2,M,45,none,1,8,2014
DO,11.12.2013,1,F,44,none,11,12,2013
DM,3/13/14,1,F,44,none,3,13,2014
DM,01.08.2014,2,M,44,none,1,8,2014
DM,1/20/14,1,M,43,none,1,20,2014
DM,01.08.2014,2,M,43,none,1,8,2014
DM,01.08.2014,2,M,43,none,1,8,2014
DM,7/18/13,7,F,42,none,7,18,2013
DM,7/18/13,4,F,41,none,7,18,2013
DO,10/18/13,8,F,41,none,10,18,2013
DO,12.11.2013,8,F,41,none,12,11,2013
DM,7/18/13,3,M,40,none,7,18,2013
DO,12.10.2013,9,F,40,none,12,10,2013
DM,01.09.2014,1,M,40,none,1,9,2014
DO,11/14/13,8,F,39,none,11,14,2013
DM,1/20/14,1,F,39,none,1,20,2014
DM,01.08.2014,2,M,38,none,1,8,2014
DM,01.08.2014,2,M,38,none,1,8,2014
DM,7/18/13,6,F,37,none,7,18,2013
DM,01.08.2014,2,F,37,none,1,8,2014
DM,7/18/13,7,M,36,none,7,18,2013
DM,01.09.2014,1,F,36,none,1,9,2014
DM,7/18/13,7,F,35,none,7,18,2013
DM,01.08.2014,2,F,35,none,1,8,2014
DM,7/16/13,7,M,33,none,7,16,2013
DO,10/17/13,3,F,33,none,10,17,2013
DO,10/17/13,17,F,31,none,10,17,2013
DM,7/18/13,4,F,29,none,7,18,2013
OT,06.09.2015,3,F,29,none,6,9,2015
OT,03.11.2015,3,M,26,none,3,11,2015
OT,2/18/15,3,M,24,none,2,18,2015
OT,2/18/15,3,F,23,none,2,18,2015
DM,7/18/13,8,F,22,none,7,18,2013
PE,01.08.2014,2,M,22,none,1,8,2014
OT,03.11.2015,3,F,22,none,3,11,2015
PF,03.11.2015,3,M,8,none,3,11,2015
PF,01.08.2014,2,F,7,none,1,8,2014
PF,2/18/14,2,F,7,none,2,18,2014
PF,01.08.2015,3,M,7,none,1,8,2015
